ID apteki;Nazwa;Status;Numer zezwolenia;Data wydania zezwolenia;Data cofni_cia zezwolenia;Data wygaszenia zezwolenia;Data uprawomocnienia zezwolenia;Data uprawomocnienia cofni_cia/wygaszenia zezwolenia;Data nadania rygoru natychmiastowej wykonalno_ci dla cofni_cia zezwolenia;Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia;Wojew—dztwo;Powiat;Gmina;Rodzaj ulicy;Ulica;Numer Budynku;Numer Lokalu;Miejscowo__;Kod pocztowy;Poczta;Simc;Terc;Ulic
1098524;Dzia_ farmacji szpitalnej;aktywna;brak;2012-05-21;;;2012-05-21;;;;mazowieckie;kozienicki;Kozienice;al.;W_adys_awa Sikorskiego;10 Z;;Kozienice;26-900;;;;
1098629;Dzia_ farmacji szpitalnej;aktywna;WIF.WA.I.MKu/433/6-4/09;2009-10-12;;;2009-10-12;;;;MAZOWIECKIE;Warszawa;Wilan—w (dzielnica);al.;Aleja Rzeczypospolitej;5;;Warszawa;02-972;Warszawa;988856;1465168;45565
1098632;Dzia_ farmacji szpitalnej;aktywna;WIF.WA.I.8540.21.1.2014;2014-01-03;;;2014-01-03;;;;mazowieckie;Warszawa;Warszawa;ul.;Mehoffera;72/74;;Warszawa;03-131;;;;
1098641;Dzia_ farmacji szpitalnej;aktywna;WIF.WA.I.WK/431/1/04;2004-01-13;;;2004-01-13;;;;mazowieckie;Warszawa;Warszawa;ul.;Pozna_ska;22;;Warszawa;00-685;;;;
1098655;Dzia_ farmacji szpitalnej;aktywna;WIF.WA.I.8540.21.2.2014;2014-01-24;;;2014-01-24;;;;mazowieckie;Warszawa;Warszawa;ul.;Olchy;8;;Warszawa-Rado__;04-837;;;;
1123674;Dzia_ farmacji szpitalnej;aktywna;WIF.WA.I.8540.20.5.2014.IG;2014-02-13;;;2014-02-13;;;;mazowieckie;Warszawa;Warszawa;ul.;Szubi_ska;4;;Warszawa;01-958;;;;
1123733;dzia_ farmacji szpitalnej;aktywna;WIF.WA.I.8540.20.8.2014.IG;2014-03-21;;;2014-04-09;;;;MAZOWIECKIE;Warszawa;Targ—wek (dzielnica);ul.;_w. Wincentego;103;;Warszawa;03-291;Warszawa;988827;1465118;24330
1124125;Dzia_ farmacji szpitalnej;aktywna;WIF.WA.I.8540.20.2.2013.MKu;2013-12-11;;;2013-12-11;;;;mazowieckie;Warszawa;Warszawa;ul.;Kajakowa;12;;Warszawa;02-838;;;;
1181469;dzia_ farmacji szpitalnej;aktywna;WIFG.8540.1.1.2014.ACH;2014-12-16;;;2014-12-30;;;;LUBUSKIE;_arski;_ary (gmina miejska);ul.;Pszenna;2;;_ary;68-200;_ary;988684;811021;
1184253;Dzia_ farmacji szpitalnej;aktywna;WIFG.8540.1.1.2015.ACH;2015-03-12;;;2015-03-26;;;;LUBUSKIE;nowosolski;Nowa S—l (gmina miejska);ul.;1 Maja ;30;;Nowa S—l;67-100;Nowa S—l;988520;804011;
1190077;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.7.2013;2013-05-24;;;;;;;LUBELSKIE;rycki;Ryki (miasto w gminie miejsko-wiejskiej);ul.;_ytnia;23;;Ryki;08-500;;956980;616044;26635
1190089;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.4.2011/2012;2012-01-31;;;;;;;LUBELSKIE;opolski;Poniatowa (miasto w gminie miejsko-wiejskiej);ul.;Fabryczna;6;;Poniatowa;24-320;;956744;612064;4863
1190090;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.4.2012;2012-07-31;;;;;;;LUBELSKIE;pu_awski;Na__cz—w (miasto w gminie miejsko-wiejskiej);ul.;Micha_a G—rskiego;5;;Na__cz—w;24-140;;956454;614084;5993
1190106;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.5.2012;2012-07-26;;;;;;;LUBELSKIE;pu_awski;Pu_awy (gmina miejska);ul.;Juliana Ursyna Niemcewicza;2A;;Pu_awy;24-100;;956810;614011;14177
1190111;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.6.2012;2012-08-23;;;;;;;LUBELSKIE;Lublin;Lublin (gmina miejska);ul.;Kazimierza Przerwy-Tetmajera;21;;Lublin;20-362;;954700;663011;17755
1190133;DZIA_ FARMACJI SZPITALNEJ;aktywna;bez zgody;1900-01-01;;;;;;;LUBELSKIE;Lublin;Lublin (gmina miejska);ul.;Onyksowa;12;;Lublin;;;954700;663011;15052
1190201;DZIA_ FARMACJI SZPITALNEJ;aktywna;bez z gody;1900-01-01;;;;;;;LUBELSKIE;Lublin;Lublin (gmina miejska);ul.;Witolda Chod_ki;13;;Lublin;;;954700;663011;2816
1190217;DZIA_ FARMACJI SZPITALNEJ;aktywna;LU-A.8540.4.2013;2013-02-08;;;;;;;LUBELSKIE;Lublin;Lublin (gmina miejska);ul.;M_y_ska;14 A;;Lublin;;;954700;663011;13132
